win,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,tower_kills_team_1,inhibitor_kills_team_1,baron_kills_team_1,dragon_kills_team_1,vilemaw_kills_team_1,rift_herald_kills_team_1,tower_kills_team_2,inhibitor_kills_team_2,baron_kills_team_2,dragon_kills_team_2,vilemaw_kills_team_2,rift_herald_kills_team_2,kills_top_team_1,assists_top_team_1,deaths_top_team_1,gold_earned_20m_top_team_1,cs_20m_top_team_1,xp_20m_top_team_1,damege_taken_20m_top_team_1,kills_middle_team_1,assists_middle_team_1,deaths_middle_team_1,gold_earned_20m_middle_team_1,cs_20m_middle_team_1,xp_20m_middle_team_1,damege_taken_20m_middle_team_1,kills_jungle_team_1,assists_jungle_team_1,deaths_jungle_team_1,gold_earned_20m_jungle_team_1,cs_20m_jungle_team_1,xp_20m_jungle_team_1,damege_taken_20m_jungle_team_1,kills_bottom_duo_support_team_1,assists_bottom_duo_support_team_1,deaths_bottom_duo_support_team_1,gold_earned_20m_bottom_duo_support_team_1,cs_20m_bottom_duo_support_team_1,xp_20m_bottom_duo_support_team_1,damege_taken_20m_bottom_duo_support_team_1,kills_bottom_duo_carry_team_1,assists_bottom_duo_carry_team_1,deaths_bottom_duo_carry_team_1,gold_earned_20m_bottom_duo_carry_team_1,cs_20m_bottom_duo_carry_team_1,xp_20m_bottom_duo_carry_team_1,damege_taken_20m_bottom_duo_carry_team_1,kills_top_team_2,assists_top_team_2,deaths_top_team_2,gold_earned_20m_top_team_2,cs_20m_top_team_2,xp_20m_top_team_2,damege_taken_20m_top_team_2,kills_middle_team_2,assists_middle_team_2,deaths_middle_team_2,gold_earned_20m_middle_team_2,cs_20m_middle_team_2,xp_20m_middle_team_2,damege_taken_20m_middle_team_2,kills_jungle_team_2,assists_jungle_team_2,deaths_jungle_team_2,gold_earned_20m_jungle_team_2,cs_20m_jungle_team_2,xp_20m_jungle_team_2,damege_taken_20m_jungle_team_2,kills_bottom_duo_support_team_2,assists_bottom_duo_support_team_2,deaths_bottom_duo_support_team_2,gold_earned_20m_bottom_duo_support_team_2,cs_20m_bottom_duo_support_team_2,xp_20m_bottom_duo_support_team_2,damege_taken_20m_bottom_duo_support_team_2,kills_bottom_duo_carry_team_2,assists_bottom_duo_carry_team_2,deaths_bottom_duo_carry_team_2,gold_earned_20m_bottom_duo_carry_team_2,cs_20m_bottom_duo_carry_team_2,xp_20m_bottom_duo_carry_team_2,damege_taken_20m_bottom_duo_carry_team_2
2,1,2,1,1,2,2,9,2,1,1,0,0,8,1,1,3,0,1,2,8,10,325,3.5,322.5,1047.5,7,7,7,595.3,9,571.5,540.6,3,10,5,405,1.3,527.2,609.4,5,16,6,324.6,0.6,342.2,437.8,16,9,7,821.2,9.4,738.4,743.9,8,10,6,365.5,6.4,396.8,656.8,11,8,4,601.2,8.8,565.2,556.5,8,10,4,409.1,0.6,363.5,1030.5,4,10,9,288.7,1.8,252.7,476.4,4,10,10,274.1,3.8,350.4,740.7
1,1,0,1,1,1,2,10,2,2,4,0,0,4,0,0,1,0,1,7,9,6,465.5,8.9,645.8,697.5,5,13,3,365,7.4,412,563.6,12,16,6,436.6,1.9,587.8,716.8,4,18,4,303.5,0.3,396.1,318.5,16,6,5,613.3,9,595.4,583.7,3,5,9,357.9,8.3,540.8,798,8,2,8,598.5,10.6,691.4,653.8,4,8,12,349.4,0.5,385.6,970.4,4,9,9,256.8,0.8,264.9,566.4,5,4,6,312.8,7.2,384.1,666.6
1,1,2,1,1,1,1,6,1,2,2,0,1,4,0,0,2,0,0,5,12,1,502.3,7.4,597.3,610.7,3,9,3,320.2,5.3,437.4,485.2,4,14,4,442.8,0.6,506.5,920.8,3,19,7,281.5,0.9,277.6,516.8,16,10,5,551.7,6.6,487.6,672.3,2,4,7,317,4.6,367.3,721.3,5,5,6,526.8,9.4,580,1075.1,4,6,5,419.5,0.4,441.2,915.5,2,13,6,367.6,0.4,447.6,531.4,7,7,7,472.6,8.6,520.7,749.3
1,1,2,2,2,2,2,7,1,1,1,0,0,9,2,3,5,0,1,13,18,12,395.3,6.8,545.4,1228,10,16,5,404.9,9.3,534.2,105.1,7,22,9,325,0.8,454.7,1095.1,2,27,7,240,1.5,319.7,413.4,16,13,4,336.4,8.2,423.9,536.7,6,10,11,378.3,7.1,505.3,838.4,15,7,6,518.2,10.4,569.9,419.7,4,14,12,397.4,1.1,519.4,852.6,1,11,11,278.5,0.8,330.6,339.5,11,7,8,478.3,8.7,481.6,403.1
1,1,2,1,1,1,1,10,2,1,4,0,1,3,0,1,2,0,0,3,13,6,372,4.9,423.6,824.6,10,11,6,476.3,5.8,483.8,1059.3,6,13,6,550.2,0.6,609.9,926.7,1,12,10,276.1,0.9,332,884.1,16,13,5,722.3,8.5,600.9,636.7,16,6,2,695.4,9.3,538.4,1094.3,3,11,7,386.1,7.1,455.5,688.8,3,20,7,303.8,0.1,324.4,1178.7,4,20,8,358,0.4,283.9,521,7,11,12,351.6,4.4,352.1,884
1,1,0,1,1,1,1,11,4,2,4,0,1,1,0,0,1,0,0,12,5,5,513.6,10.4,575.4,854.6,5,14,7,414.2,5,433.8,1345.9,7,16,5,505.8,0.5,493.4,1377.5,4,27,5,379.4,1.7,357.9,267,15,13,3,595.3,5.9,477.6,583.9,10,5,7,488.6,8.9,633.2,1138,5,2,5,479.8,9,574.7,1047.2,1,9,12,256.8,1,304.1,1231,4,13,9,265.8,0.6,211.1,393.1,5,3,10,291.8,4.9,336.5,748.4
2,1,0,1,1,1,1,5,1,1,1,0,1,7,1,1,3,0,0,1,11,7,315.6,4.9,458,585.6,8,11,10,491.8,7.9,516.9,1593.9,5,13,8,362.2,1.1,500.3,655.5,4,16,10,310.9,0.2,366.7,786.9,15,6,8,582.8,9,586.5,1030.5,3,25,2,391.4,6.7,484.7,305,9,10,8,471.6,8.5,537,736,17,17,8,448.3,1.7,574,994.7,7,16,6,428.2,2.2,398.2,551.5,6,18,9,418,7.5,486.4,623.4
1,1,0,1,1,1,2,10,2,2,3,0,0,4,0,0,1,0,2,16,7,3,535.5,9.6,629,646.5,3,7,7,353.4,7.6,438.5,746.6,4,14,5,371.3,0.7,394.9,1091,4,10,9,325.6,3,384.6,598.9,15,8,4,463.1,7.9,503.2,681.2,3,2,9,464.2,7.7,609.9,1157.6,3,7,6,377.7,8.6,578.8,768.7,10,6,11,400.1,1.8,479.4,985.2,8,9,6,340.4,0.7,372.6,713.1,4,5,10,349.9,6.4,405.6,581
1,1,0,1,1,1,2,10,2,2,3,0,0,4,0,0,1,0,2,16,7,3,535.5,9.6,629,646.5,3,7,7,353.4,7.6,438.5,746.6,4,14,5,371.3,0.7,394.9,1091,4,10,9,325.6,3,384.6,598.9,15,8,4,463.1,7.9,503.2,681.2,3,2,9,464.2,7.7,609.9,1157.6,3,7,6,377.7,8.6,578.8,768.7,10,6,11,400.1,1.8,479.4,985.2,8,9,6,340.4,0.7,372.6,713.1,4,5,10,349.9,6.4,405.6,581
2,1,2,1,1,2,2,8,2,1,1,0,0,8,1,0,4,0,1,14,9,9,438,8.7,608.4,1037.9,12,7,7,398.3,7.5,468.6,568.6,2,16,11,302.7,0.7,347.3,915.7,4,23,8,378.3,0.8,346,659,15,13,6,500.5,8.4,598.5,695,11,10,11,550.9,10.5,650,1133.1,7,19,8,357.9,7.5,528,358.7,11,3,9,460.2,1.3,394.5,1112.5,6,17,6,278.2,0.6,254.2,649.6,6,9,13,337.9,7.8,425.5,701.1
2,2,2,2,2,2,1,1,0,0,0,0,1,10,3,2,6,0,0,8,15,9,413.7,7.3,471.3,1250.1,15,8,13,627.9,4.8,538.9,1007.2,11,12,16,435.7,2.5,530.3,1116,8,29,12,357.4,1.1,522.1,734.2,14,14,19,446.1,6.8,471.6,827.7,11,5,12,684.8,9.5,679.9,952.9,13,11,18,279.1,3.8,291.4,923.1,22,22,4,749.9,2.1,838,1036.8,2,33,15,287.5,0.5,351.1,1057.9,21,13,8,721.5,9.7,695.2,832.4
1,1,0,1,2,1,1,10,3,0,4,0,2,4,0,1,2,0,0,7,8,9,389.6,5.8,479.2,1179.5,13,9,6,567.7,9.9,743.6,359.7,14,12,4,568.2,2.7,663.3,798.1,3,19,7,311,1.5,376.6,713.2,14,16,6,646.1,7.5,619.4,613.1,11,11,8,556.7,8.7,571.5,1083.7,10,6,10,348.7,7.4,448.4,706.1,9,8,10,481.5,0.6,446.8,1315.3,1,17,11,273.7,1,330.8,650.6,1,8,12,288.7,6.8,455,903.9
2,2,0,1,1,1,1,9,2,1,3,0,1,10,2,1,1,0,0,6,9,4,451.3,6.4,458.2,933.7,5,7,4,452.8,6.7,639.5,629,7,6,8,459.3,2.4,541.9,834.2,3,17,9,289.1,1,283.8,403.9,14,4,8,473.5,8.8,629.8,672.2,3,8,10,275.7,4.6,342.3,978.9,15,2,7,496.2,8,509.2,602.8,2,14,5,258.3,0.8,319.5,885.6,1,23,6,240.1,1.9,277.8,534.6,11,7,7,415.1,8.4,503.2,550.2
1,2,2,2,1,1,2,8,1,2,2,0,0,7,1,0,3,0,2,2,11,8,255.7,5.5,391.1,1124,13,5,2,476.3,11,648.5,410.1,6,11,7,453.5,2,499.7,1453.4,0,27,1,282.1,0.8,446.9,285.8,14,3,3,455,7.6,385,568.9,8,5,5,665.8,8.9,696.7,1183.3,3,2,8,378.3,7.3,467.7,398.5,6,7,5,487.7,0.7,626.8,757.8,1,2,7,310.7,2.6,369.2,587.4,3,4,10,369.4,7.2,473,475.3
1,1,0,1,1,2,1,10,2,1,2,0,1,4,0,0,3,0,1,8,5,3,474.1,8.3,532.7,1105.4,6,14,8,373.7,6.6,479.1,577.5,12,10,9,576.4,0.9,484.1,1137.3,6,19,9,323.9,1.8,302.4,1069.4,13,11,8,351,6.2,374.6,628.9,4,2,9,409.5,8.7,612.9,1196.7,8,5,12,476.4,7.2,523.4,921.8,15,13,8,563.5,1.4,583.9,912.4,0,21,9,305.5,1,377.5,635.9,10,15,7,530.1,5.5,447.3,695.7
2,2,2,2,2,2,1,3,0,0,1,0,1,9,2,2,4,0,1,1,7,11,357.7,5.7,393.1,985.2,3,13,8,417.7,5.8,468.2,602.7,9,15,9,442.7,1.6,516.7,1169.1,5,11,12,306.8,1.3,332.7,836.2,13,8,8,422,7.1,374.9,686.2,16,13,2,730.5,7.9,735.3,929.8,10,14,6,467,6.9,546.5,673.2,8,19,5,398.7,1.1,481.2,1251.3,7,18,9,300.8,1.2,280,763.5,7,26,9,530.1,6.9,514.3,721.4
1,1,2,1,1,2,1,10,2,2,2,0,1,2,0,0,2,0,0,7,4,4,345.8,6.5,560.4,814.2,5,9,7,457.8,7.9,584.5,619.9,12,6,2,530,0.9,594.5,1198.1,4,17,3,334.1,1.3,432.4,712.2,13,8,3,684.9,8.4,680.5,702.5,4,1,6,411.7,8.5,601.3,1205.5,5,3,7,380.4,7.3,459.6,552,5,5,10,327.1,0.7,300.6,1242.7,4,6,9,372,1,391,968.3,1,3,9,237.7,4.5,326.6,680.8
